target_id,cx,cy,cz,w,h,d
1,-217.996,-214.060,1200.000,657.893,539.284,0.000
2,-212.361,-179.187,1200.000,288.535,250.519,0.000
3,-223.051,-193.328,1200.000,138.983,219.026,0.000
4,-220.661,-197.153,1200.000,445.407,399.946,0.000
5,-231.652,-145.138,1200.000,674.192,583.400,0.000
6,-189.805,-175.564,1200.000,131.453,191.643,0.000
7,-218.317,-223.001,1200.000,375.251,634.838,0.000
8,-243.931,-173.842,1200.000,531.553,669.295,0.000
9,-235.679,-277.921,1200.000,476.227,517.200,0.000
10,-229.057,-175.228,1200.000,238.838,343.940,0.000
11,-196.085,-189.723,1200.000,842.602,666.849,0.000
12,-225.496,-304.716,1200.000,525.424,652.077,0.000
13,-226.823,-230.337,1200.000,430.663,386.158,0.000
14,-210.742,-110.969,1200.000,294.469,359.092,0.000
